,point_timestamp,point_value
0,2018-09-01,0.1153152620532679
1,2018-10-01,0.10487777653756
2,2018-11-01,0.0985445795065033
3,2018-12-01,0.123207460413254
4,2019-01-01,0.1171399594320486
5,2019-02-01,0.1098116752697425
6,2019-03-01,0.0877640105707728
7,2019-04-01,0.0828575545805763
8,2019-05-01,0.0794405992044858
9,2019-06-01,0.0807575890782582
10,2019-07-01,0.0871715138285846
11,2019-08-01,0.0878968735755577
12,2019-09-01,0.0791399276361487
13,2019-10-01,0.0833700509431877
14,2019-11-01,0.0686059960337932
15,2019-12-01,0.0688444243269715
16,2020-01-01,0.0709239947786016
