,point_timestamp,point_value
0,2021-01-05,0.016
1,2021-01-06,0.0158
2,2021-01-07,0.018
3,2021-01-08,0.0184
4,2021-01-09,
5,2021-01-10,
6,2021-01-11,0.018
7,2021-01-12,0.0163
8,2021-01-13,0.0182
9,2021-01-14,0.0175
10,2021-01-15,0.0146
11,2021-01-16,
12,2021-01-17,
13,2021-01-18,
14,2021-01-19,0.0114
15,2021-01-20,0.0183
16,2021-01-21,0.0154
17,2021-01-22,0.0601
18,2021-01-23,
19,2021-01-24,
20,2021-01-25,0.0149
21,2021-01-26,0.0159
22,2021-01-27,0.0147
23,2021-01-28,0.0175
24,2021-01-29,0.0145
25,2021-01-30,
26,2021-01-31,
27,2021-02-01,0.0189
28,2021-02-02,0.0151
29,2021-02-03,0.0183
30,2021-02-04,0.0151
31,2021-02-05,0.0151
32,2021-02-06,
33,2021-02-07,
34,2021-02-08,0.0045
35,2021-02-09,0.0425
36,2021-02-10,0.0148
37,2021-02-11,0.0184
38,2021-02-12,0.0169
39,2021-02-13,
40,2021-02-14,
41,2021-02-15,0.0178
42,2021-02-16,0.0154
43,2021-02-17,0.018
44,2021-02-18,0.0189
45,2021-02-19,0.0166
46,2021-02-20,
47,2021-02-21,
48,2021-02-22,0.0155
49,2021-02-23,0.0417
50,2021-02-24,0.0181
51,2021-02-25,0.0183
52,2021-02-26,0.0187
53,2021-02-27,
54,2021-02-28,
55,2021-03-01,0.0082
56,2021-03-02,0.0149
57,2021-03-03,0.0183
58,2021-03-04,0.018
59,2021-03-05,0.0178
60,2021-03-06,
61,2021-03-07,
62,2021-03-08,0.0183
63,2021-03-09,0.0186
64,2021-03-10,0.0149
65,2021-03-11,0.0287
66,2021-03-12,0.0179
67,2021-03-13,
68,2021-03-14,
69,2021-03-15,0.0073
70,2021-03-16,0.0156
71,2021-03-17,0.0195
72,2021-03-18,0.0176
73,2021-03-19,0.0152
74,2021-03-20,
75,2021-03-21,
76,2021-03-22,0.0053
77,2021-03-23,0.0194
78,2021-03-24,0.016
79,2021-03-25,0.1818
80,2021-03-26,0.0152
81,2021-03-27,
82,2021-03-28,
83,2021-03-29,0.0177
84,2021-03-30,0.0175
85,2021-03-31,0.0156
86,2021-04-01,0.0184
87,2021-04-02,0.0181
88,2021-04-03,
89,2021-04-04,
90,2021-04-05,0.0164
91,2021-04-06,0.0185
92,2021-04-07,0.0188
93,2021-04-08,0.0162
94,2021-04-09,0.0156
95,2021-04-10,
96,2021-04-11,
97,2021-04-12,0.0184
98,2021-04-13,0.0152
99,2021-04-14,0.0076
100,2021-04-15,0.0162
101,2021-04-16,0.0185
102,2021-04-17,
103,2021-04-18,
104,2021-04-19,0.0155
105,2021-04-20,0.0154
106,2021-04-21,0.0157
107,2021-04-22,0.018
108,2021-04-23,0.0174
109,2021-04-24,
110,2021-04-25,
111,2021-04-26,0.0184
112,2021-04-27,0.0156
113,2021-04-28,0.0184
114,2021-04-29,0.0179
115,2021-04-30,0.0181
116,2021-05-01,
117,2021-05-02,
118,2021-05-03,0.0161
119,2021-05-04,0.0153
120,2021-05-05,0.0173
121,2021-05-06,0.0153
122,2021-05-07,0.0148
123,2021-05-08,
124,2021-05-09,
125,2021-05-10,0.0163
126,2021-05-11,0.018
127,2021-05-12,0.019
128,2021-05-13,0.0164
129,2021-05-14,0.0153
130,2021-05-15,
131,2021-05-16,
132,2021-05-17,0.018
133,2021-05-18,0.0189
134,2021-05-19,0.0181
135,2021-05-20,0.0315
136,2021-05-21,0.015
137,2021-05-22,
138,2021-05-23,
