,point_timestamp,point_value
0,2021-09-02,128
1,2021-09-03,111
2,2021-09-04,93
3,2021-09-05,77
4,2021-09-06,113
5,2021-09-07,134
6,2021-09-08,117
7,2021-09-09,93
8,2021-09-10,82
9,2021-09-11,70
10,2021-09-12,73
11,2021-09-13,118
12,2021-09-14,114
13,2021-09-15,134
14,2021-09-16,138
15,2021-09-17,103
16,2021-09-18,92
17,2021-09-19,84
18,2021-09-20,115
19,2021-09-21,100
20,2021-09-22,110
21,2021-09-23,118
22,2021-09-24,102
23,2021-09-25,58
24,2021-09-26,73
25,2021-09-27,101
26,2021-09-28,99
27,2021-09-29,97
28,2021-09-30,116
29,2021-10-01,96
30,2021-10-02,72
31,2021-10-03,79
32,2021-10-04,100
33,2021-10-05,101
34,2021-10-06,124
35,2021-10-07,79
36,2021-10-08,95
37,2021-10-09,71
38,2021-10-10,61
39,2021-10-11,103
40,2021-10-12,94
41,2021-10-13,100
42,2021-10-14,97
43,2021-10-15,83
44,2021-10-16,72
45,2021-10-17,76
46,2021-10-18,78
47,2021-10-19,105
48,2021-10-20,92
49,2021-10-21,59
50,2021-10-22,93
51,2021-10-23,120
52,2021-10-24,90
53,2021-10-25,104
54,2021-10-26,138
55,2021-10-27,163
56,2021-10-28,112
57,2021-10-29,126
58,2021-10-30,92
59,2021-10-31,83
60,2021-11-01,121
61,2021-11-02,120
62,2021-11-03,131
63,2021-11-04,136
64,2021-11-05,124
65,2021-11-06,96
66,2021-11-07,76
67,2021-11-08,136
68,2021-11-09,122
69,2021-11-10,111
70,2021-11-11,115
71,2021-11-12,123
72,2021-11-13,129
73,2021-11-14,92
74,2021-11-15,169
75,2021-11-16,178
76,2021-11-17,157
77,2021-11-18,121
78,2021-11-19,114
79,2021-11-20,87
80,2021-11-21,75
81,2021-11-22,130
82,2021-11-23,119
83,2021-11-24,113
84,2021-11-25,97
85,2021-11-26,94
86,2021-11-27,84
87,2021-11-28,92
88,2021-11-29,120
89,2021-11-30,129
90,2021-12-01,126
91,2021-12-02,135
92,2021-12-03,143
93,2021-12-04,88
94,2021-12-05,84
95,2021-12-06,131
96,2021-12-07,117
97,2021-12-08,105
98,2021-12-09,110
99,2021-12-10,108
100,2021-12-11,103
101,2021-12-12,83
102,2021-12-13,112
103,2021-12-14,107
104,2021-12-15,117
105,2021-12-16,87
106,2021-12-17,133
107,2021-12-18,116
108,2021-12-19,131
109,2021-12-20,150
110,2021-12-21,145
111,2021-12-22,153
112,2021-12-23,144
113,2021-12-24,116
114,2021-12-25,93
115,2021-12-26,90
116,2021-12-27,150
117,2021-12-28,132
118,2021-12-29,147
119,2021-12-30,141
120,2021-12-31,92
121,2022-01-01,80
122,2022-01-02,107
123,2022-01-03,145
124,2022-01-04,141
125,2022-01-05,133
126,2022-01-06,148
127,2022-01-07,152
128,2022-01-08,110
129,2022-01-09,101
130,2022-01-10,180
131,2022-01-11,149
132,2022-01-12,232
133,2022-01-13,192
134,2022-01-14,177
135,2022-01-15,151
136,2022-01-16,104
137,2022-01-17,159
138,2022-01-18,184
139,2022-01-19,174
140,2022-01-20,167
141,2022-01-21,180
142,2022-01-22,149
143,2022-01-23,115
144,2022-01-24,140
145,2022-01-25,180
146,2022-01-26,185
147,2022-01-27,217
148,2022-01-28,180
149,2022-01-29,134
150,2022-01-30,138
151,2022-01-31,167
152,2022-02-01,187
153,2022-02-02,172
154,2022-02-03,215
155,2022-02-04,247
156,2022-02-05,229
157,2022-02-06,217
158,2022-02-07,263
159,2022-02-08,273
160,2022-02-09,246
161,2022-02-10,244
162,2022-02-11,211
163,2022-02-12,190
164,2022-02-13,171
165,2022-02-14,214
166,2022-02-15,236
167,2022-02-16,243
168,2022-02-17,242
169,2022-02-18,233
170,2022-02-19,188
171,2022-02-20,188
172,2022-02-21,267
173,2022-02-22,311
174,2022-02-23,307
175,2022-02-24,284
176,2022-02-25,254
177,2022-02-26,249
178,2022-02-27,206
179,2022-02-28,267
180,2022-03-01,263
181,2022-03-02,278
182,2022-03-03,278
183,2022-03-04,294
184,2022-03-05,212
185,2022-03-06,247
186,2022-03-07,277
187,2022-03-08,286
188,2022-03-09,245
189,2022-03-10,308
190,2022-03-11,297
191,2022-03-12,261
192,2022-03-13,225
193,2022-03-14,279
194,2022-03-15,312
195,2022-03-16,284
196,2022-03-17,293
197,2022-03-18,282
198,2022-03-19,226
199,2022-03-20,226
200,2022-03-21,313
201,2022-03-22,234
202,2022-03-23,357
203,2022-03-24,369
204,2022-03-25,327
205,2022-03-26,262
206,2022-03-27,272
207,2022-03-28,325
208,2022-03-29,317
209,2022-03-30,325
210,2022-03-31,336
211,2022-04-01,316
212,2022-04-02,262
213,2022-04-03,272
214,2022-04-04,330
215,2022-04-05,341
216,2022-04-06,331
217,2022-04-07,326
218,2022-04-08,311
219,2022-04-09,271
220,2022-04-10,232
221,2022-04-11,263
222,2022-04-12,310
223,2022-04-13,322
224,2022-04-14,273
